Supplementary text for Orton et al. 2014. Mid-Infrared Spectroscopy of Uranus from the
Spitzer Infared Spectrometer: 1. Determination of the Mean Temperature Structure of the
Upper Troposphere and Stratosphere.

wl=wavelength (micrometers)
wn=wavenumber (cm-1)
rad=radiance (W cm-1 sr-1 (cm-1)-1); sigma = 1 standard deviation)
Tb=brightness temperature (K); sigma = 1 standard deviation)


Short-Low1 spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
   7.46    1341.35    9.698e-06    1.011e-06     88.49     0.42
   7.52    1330.56    1.303e-05    9.547e-07     89.08     0.30
   7.58    1319.94    1.467e-05    6.627e-07     88.96     0.19
   7.64    1309.48    2.315e-05    1.156e-06     90.29     0.22
   7.70    1299.19    2.219e-05    1.086e-06     89.50     0.21
   7.76    1289.06    1.489e-05    6.237e-07     87.23     0.17
   7.82    1279.09    1.264e-05    4.483e-07     85.99     0.14
   7.88    1269.27    1.122e-05    5.493e-07     84.95     0.19
   7.94    1259.60    9.035e-06    3.758e-07     83.55     0.16
   8.00    1250.08    8.888e-06    2.749e-07     82.94     0.12
   8.06    1240.70    6.546e-06    1.901e-07     81.26     0.11
   8.12    1231.46    3.009e-06    1.512e-07     77.97     0.17
   8.18    1222.35    2.543e-06    2.255e-07     76.90     0.30
   8.24    1213.38    2.981e-06    1.643e-07     76.95     0.19
   8.30    1204.54    2.746e-06    2.448e-07     76.18     0.30
   8.36    1195.83    4.211e-06    1.151e-06     77.16     0.97
   8.42    1187.24    3.588e-07    6.302e-07     69.04     1.20 *revisit by hand
   8.48    1178.78    1.274e-06    2.672e-07     72.32     0.66
   8.54    1170.43    1.814e-06    1.137e-07     72.97     0.20
   8.60    1162.20    2.391e-06    1.884e-07     73.41     0.25
   8.66    1154.09    3.120e-06    2.050e-07     73.82     0.22
   8.73    1146.09    4.532e-06    1.388e-07     74.62     0.10
   8.79    1138.20    6.887e-06    2.960e-07     75.61     0.15
   8.85    1130.42    9.681e-06    2.424e-07     76.37     0.09
   8.91    1122.74    1.472e-05    1.157e-07     77.45     0.03
   8.97    1115.17    2.401e-05    1.999e-07     78.85     0.03
   9.03    1107.70    3.649e-05    1.462e-07     80.05     0.02
   9.09    1100.33    5.051e-05    1.462e-07     80.92     0.01
   9.15    1093.05    6.199e-05    3.460e-07     81.32     0.02
   9.21    1085.87    6.978e-05    6.172e-07     81.36     0.04
   9.27    1078.79    7.395e-05    8.427e-07     81.16     0.05
   9.33    1071.79    7.353e-05    8.514e-07     80.69     0.05
   9.39    1064.89    7.131e-05    9.020e-07     80.12     0.05
   9.45    1058.08    6.812e-05    1.009e-06     79.50     0.06
   9.51    1051.35    6.405e-05    9.007e-07     78.82     0.06
   9.57    1044.71    6.335e-05    7.329e-07     78.36     0.05
   9.63    1038.15    8.734e-05    7.582e-07     79.27     0.04
   9.69    1031.67    8.139e-05    2.104e-06     78.56     0.11
   9.75    1025.27    5.212e-05    6.425e-07     76.35     0.05
   9.81    1018.95    3.980e-05    1.960e-07     74.90     0.02
   9.87    1012.71    3.557e-05    7.491e-07     74.09     0.08
   9.94    1006.54    3.049e-05    2.978e-07     73.13     0.04
  10.00    1000.45    2.805e-05    6.638e-07     72.45     0.09
  10.06     994.43    2.413e-05    3.937e-07     71.54     0.06
  10.12     988.49    2.161e-05    3.687e-07     70.78     0.06
  10.18     982.62    1.943e-05    2.931e-07     70.06     0.05
  10.24     976.81    1.795e-05    1.741e-07     69.43     0.03
  10.30     971.07    1.714e-05    2.636e-07     68.92     0.05
  10.36     965.40    1.550e-05    1.124e-07     68.24     0.02
  10.42     959.80    1.493e-05    1.832e-07     67.78     0.04
  10.48     954.26    1.577e-05    2.106e-07     67.63     0.04
  10.54     948.78    1.621e-05    2.448e-07     67.39     0.05
  10.60     943.37    1.661e-05    2.709e-07     67.14     0.05
  10.66     938.02    1.823e-05    2.676e-07     67.13     0.05
  10.72     932.72    1.936e-05    2.200e-07     67.00     0.04
  10.78     927.50    2.119e-05    1.960e-07     66.99     0.03
